,Bronx,Brooklyn,Manhattan,Queens,Staten Island
2015-Q1,1495.7549407114623,2183.28431372549,3565.47150997151,1890.4152046783627,1537.3055555555554
2015-Q2,1499.5797101449277,2226.1176470588234,3546.814281949934,1934.6549707602342,1606.2222222222224
2015-Q3,1524.159420289855,2316.4408422459896,3393.259018759019,2000.2310985797828,1709.625
2015-Q4,1561.304347826087,2384.872549019608,3786.9045506486523,2049.6900584795326,1878.7777777777776
2016-Q1,1587.463768115942,2388.5686274509803,3892.2533333333336,2065.175438596491,1879.7
2016-Q2,1591.536231884058,2375.4901960784314,3766.184929917386,2076.3216374269005,1852.8851851851853
2016-Q3,1616.8761528326747,2389.627450980392,3794.189682539682,2092.2923976608186,1907.3285714285714
2016-Q4,1681.8565217391304,2422.372549019608,3817.9563492063494,2117.19298245614,1962.7314814814815
2017-Q1,1708.66139657444,2394.774509803922,3584.1468253968255,2123.643274853801,1904.018686868687
2017-Q2,1712.782608695652,2348.568924539513,3653.159430562939,2108.695906432749,1859.3055555555557
2017-Q3,1682.623188405797,2340.725490196078,3640.9129421303332,2136.53216374269,1913.820707070707
2017-Q4,1683.6376811594203,2353.6568627450984,3368.6680194805194,2123.6432748538014,1967.1212121212122
2018-Q1,1694.2608695652173,2325.5882352941176,3387.6069139194137,2102.0877192982457,1996.300505050505
2018-Q2,1725.5797101449273,2283.340166369578,3364.7664437012263,2115.444444444445,1953.222222222222
2018-Q3,1767.0869565217392,2282.7352941176473,3309.8316993464055,2153.9181286549706,1927.3459595959596
2018-Q4,1790.623188405797,2298.362745098039,3224.702380952381,2169.0701754385964,1944.472222222222
2019-Q1,1820.7215865751334,2326.5588235294117,3288.0654761904757,2173.3684210526317,1997.3277777777778
2019-Q2,1819.9137022397892,2327.029411764706,3400.3505747126437,2154.5146198830407,1989.6666666666667
2019-Q3,1840.68115942029,2363.28431372549,3410.7816091954023,2151.076023391813,2019.5833333333333
2019-Q4,1886.595203588682,2416.6190787182168,3418.8280119199662,2180.5526895943563,2059.5740740740744
2020-Q1,1898.0,2396.5625,3404.1428571428573,2170.181818181818,2024.1818181818182
